# R_before_optimized = 0.06581716277738624
# Scale factor (s) = 7.848117357516675
# Scale factor error (s_err) = 0.0007471494439233256
# Initial B_iso = 0.0
# Initial eps_Nb2 = 0.0079
# Initial eps_Se1 = -0.0026
# Initial eps_Se2_x = 0.0017
# Initial eps_Se2_z = -0.0079
# Initial Cr_occupancy = 0.75
# H  K  L  F_calculated  F_observed  F_observed_error
0 0 2 40.45907507684289 38.59886753104975 0.2369865233829269
0 0 4 63.688506027408835 64.92847645192826 0.31994854817089835
0 0 6 82.16387808672258 95.41855092869626 0.3874663491403037
0 0 8 181.69064285733236 177.7877957974408 0.42402313093137184
1 1 0 5.79749470411285 8.327709828969093 0.1989796684920625
1 1 2 3.0252285140872774 7.663490161237575 0.2179596339906544
2 2 0 188.03146630194504 186.78174558790406 0.40858197572669247
2 2 2 39.229911771345655 42.984232756172304 0.44474748177878426
2 2 4 64.80231731617408 68.58753296302527 0.4391348064731479
2 2 6 80.88333101866539 90.65979788026189 0.4503272342321058
0 0 2 40.45907507684289 38.05924843887088 0.18937464762596948
0 0 4 63.688506027408835 65.71082481356761 0.24517215660797714
0 0 6 82.16387808672258 87.41474081339135 0.36843726051722536
0 0 8 181.69064285733236 178.54072111342623 0.38320049587499944
0 0 10 0.24720537478505378 10.036661437822765 0.36493223119948637
1 0 0 4.240056519355582 3.7856162578737016 0.12688324578544924
1 0 2 6.429610090190952 5.529919457772736 0.20173499115823976
1 0 4 6.851524961161827 6.599139580202917 0.20088336757828254
1 0 8 3.2273007445629833 7.291448342323943 0.3930809536922175
2 0 1 76.03322257263345 78.56933459822783 0.22790496521163878
2 0 2 55.82148327699948 58.12267056023461 0.24056492888417907
2 0 3 88.12526254020729 90.74140010884715 0.27690470830601444
2 0 4 124.23378128159499 122.06145600481157 0.27324976748478524
2 0 5 61.7986295266505 54.009230999213344 0.37109762743514196
2 0 6 34.977542036391 31.868180771680862 0.4383373180256809
2 0 7 97.58343339090287 93.1703948208676 0.38794923652810387
2 0 9 46.08104745139911 37.1413463029048 0.40852979189533883
3 0 2 3.639810166835882 7.745279332203337 0.23903750226625095
3 0 4 4.617487968181962 6.943905539345868 0.31038174539224733
4 0 1 75.81422642052259 76.59724985141212 0.41803774478293226
4 0 2 54.578737230996936 59.70479834087828 0.566307951117772
4 0 3 87.9111758549533 86.70504745472051 0.4630258590573165
4 0 4 122.9312384506313 111.7410815649277 0.40942370559706603
4 0 5 61.56417327518909 52.10336499232291 0.46099047044771846
4 0 6 33.761432575403134 30.563430190225112 1.1640515878299773
-1 0 4 6.851524961161756 4.148672841047531 0.21628069991466434
-1 0 8 3.2273007445630846 2.120107400876996 1.4936050620476011
-2 0 7 97.58343339090277 98.78506474080287 0.3863788635119075
