#scale = H0L(exp135)/HHL(exp126) = 0.7292325684581017
# H K L F_obs F_obs_err
0 0 2 4.918232714 0.030196608
0 0 4 8.273127617 0.040767554
0 0 6 12.15814527 0.049370611
0 0 8 22.65355979 0.054028643
1 1 0 1.061109238 0.025353809
1 1 2 0.97647497 0.027772219
2 2 0 23.79956072 0.052061145
2 2 2 5.477011976 0.056669321
2 2 4 8.739361281 0.055954159
2 2 6 11.55178927 0.057380288
0 0 2 4.849474938396398 0.02412994594743063
0 0 4 8.37281373610346 0.031239613965909813
0 0 6 11.138307039925737 0.04694594177600415
0 0 8 22.74949685129589 0.04882705984359195
0 0 10 1.2788623029712944 0.04649933411736841
1 0 0 0.4823597922179336 0.016167348168401756
1 0 2 0.7046173248768198 0.025704889716643246
1 0 4 0.8408563837137926 0.025596376612014204
1 0 8 0.9290697386603716 0.05008601882281197
2 0 1 10.01123339764748 0.029039444089525333
2 0 2 7.405937999202647 0.030652565185429307
2 0 3 11.562186952000397 0.03528294694023707
2 0 4 15.552960085122201 0.03481723769370948
2 0 5 6.881807258843426 0.04728492331727386
2 0 6 4.060614707953945 0.055852543744883666
2 0 7 11.871687256515346 0.04943214007325445
2 0 9 4.73251668023695 0.052054495783509416
3 0 2 0.9868964720290729 0.030457941870263763
3 0 4 0.8847861497248405 0.03954856066149083
4 0 1 9.759952146746343 0.053265990522242776
4 0 2 7.607531286939145 0.07215844581826754
4 0 3 11.047878555444536 0.058998335264933977
4 0 4 14.237947328591572 0.052168397457121755
4 0 5 6.6389635397615425 0.058738987893217035
4 0 6 3.8943645715175803 0.14832239820102666
-1 0 4 0.5286201329639987 0.02755829074185768
-1 0 8 0.2701421633108512 0.19031380317179816
-2 0 7 12.587103408461354 0.04923204456694907
