# R_before_optimized = 0.06581716277738624
# R_optimized = 0.03810397098949755
# Scale factor (s) = 7.594154610560913
# B_iso = 0.41064063392066796
# eps_Nb2 = 0.010845753043475868
# eps_Se1 = -0.012920261888394492
# eps_Se2_x = 0.001691923598230524
# eps_Se2_z = -0.006642710747395039
# Cr_occupancy = 0.695047673958905
# s_err = 0.01342935026570358
# B_iso_err = 0.022446472488176886
# eps_Nb2_err = 0.00040595598818965494
# eps_Se1_err = 0.00024200671875618547
# eps_Se2_x_err = 0.0001359583900214046
# eps_Se2_z_err = 8.030942194685862e-05
# Cr_occupancy_err = 0.007278464079665257
# H  K  L  F_calculated  F_observed  F_observed_error
0 0 2 38.15211115443578 37.34981964083461 0.22931770986650055
0 0 4 62.387249927780886 62.827410236399366 0.30959510817039093
0 0 6 87.9207324192543 92.33083495803986 0.37492805315185934
0 0 8 170.01417916559055 172.03463552484578 0.41030186834079957
1 1 0 5.6243448304280435 8.058227612066476 0.19254074551263078
1 1 2 6.885724401888737 7.415501895522829 0.21090652496435738
2 2 0 180.23038962914143 180.73754377111237 0.3953603843328302
2 2 2 34.62891944455974 41.59327574963773 0.43035558534950635
2 2 4 62.37559608241911 66.36806076546368 0.4249245345499084
2 2 6 82.71708376307339 87.72607374499859 0.43575477867051304
0 0 2 38.15211115443578 36.8276624622226 0.18324654026926593
0 0 4 62.387249927780886 63.58444203739783 0.23723845843135707
0 0 6 87.9207324192543 84.5860257610951 0.35651474018536605
0 0 8 170.01417916559055 172.76319640120965 0.3708002416313474
0 0 10 9.857867277728673 9.711878054382002 0.35312313257542566
1 0 0 3.804569701067788 3.6631148400210245 0.12277734163361172
1 0 2 3.7523870196903495 5.350972906394397 0.1952069067556061
1 0 4 5.459191455267673 6.385593383199674 0.19438284146178117
1 0 8 5.9734273060625735 7.055499239380283 0.38036097076789815
2 0 1 74.2537816892927 76.026854264146 0.22053002822059464
2 0 2 56.35900960671877 56.24183820217304 0.23278031922844689
2 0 3 88.52990280681173 87.80503534970104 0.2679441541803774
2 0 4 120.28241012522922 118.11158353830061 0.26440748615867904
2 0 5 55.453623803785774 52.26150832373736 0.3590890184198945
2 0 6 30.218015979380493 30.83693590611991 0.42415285259176333
2 0 7 96.5277162332204 90.15542851420324 0.37539531444719815
2 0 9 34.771080339903634 35.93946336677786 0.3953098891547616
3 0 2 7.893174163884761 7.494644393205883 0.2313023196822598
3 0 4 5.5283813094552094 6.719202818293335 0.30033788428850855
4 0 1 71.4191694615317 74.11858559406762 0.40451016751058383
4 0 2 52.24947787401791 57.7727687976953 0.5479823940017062
4 0 3 85.24237873956977 83.89929786874616 0.44804247976761685
4 0 4 113.9673248541134 108.12517335034711 0.39617487607457536
4 0 5 53.1965402725205 50.41731557482591 0.4460729557289558
4 0 6 27.060012306273364 29.574406665995305 1.1263832241477783
-1 0 4 5.459191455267694 4.014423019983873 0.2092819206964566
-1 0 8 5.97342730606252 2.051501355014 1.445272445810493
-2 0 7 96.52771623322054 95.58840938297378 0.37387575823543656
